@W: FA406 |Environment variable QUARTUS_ROOTDIR not set. Cannot determine PAR version.
@W: FX107 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/fifo.sv":35:4:35:12|RAM fifo_buf[23:0] (in view: work.fifo_24s_1024s_11s(verilog)) does not have a read/write conflict check. Possible simulation mismatch. To resolve a read/write conflict, either set syn_ramstyle = rw_check, or enable the "Read Write Check on RAM" Implementation Option. For more information, search for "read/write conflict check" in Online Help.
@W: FX107 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/fifo.sv":35:4:35:12|RAM fifo_buf[7:0] (in view: work.fifo_8s_1024s_11s_0(verilog)) does not have a read/write conflict check. Possible simulation mismatch. To resolve a read/write conflict, either set syn_ramstyle = rw_check, or enable the "Read Write Check on RAM" Implementation Option. For more information, search for "read/write conflict check" in Online Help.
@W: FX107 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/fifo.sv":35:4:35:12|RAM fifo_buf[7:0] (in view: work.fifo_8s_1024s_11s_1(verilog)) does not have a read/write conflict check. Possible simulation mismatch. To resolve a read/write conflict, either set syn_ramstyle = rw_check, or enable the "Read Write Check on RAM" Implementation Option. For more information, search for "read/write conflict check" in Online Help.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_flops0 because it is equivalent to instance sob_inst.lb0_flops0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/edge_detect_top.sv":82:6:82:13|Removing sequential instance sob_inst.lb0_flops7 because it is equivalent to instance sob_inst.lb1_flops7. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_flops1 because it is equivalent to instance sob_inst.lb0_flops1. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_flops2 because it is equivalent to instance sob_inst.lb0_flops2. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/edge_detect_top.sv":82:6:82:13|Removing sequential instance sob_inst.lb0_flops6 because it is equivalent to instance sob_inst.lb1_flops6. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_flops3 because it is equivalent to instance sob_inst.lb0_flops3. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_flops4 because it is equivalent to instance sob_inst.lb0_flops4. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_flops24 because it is equivalent to instance sob_inst.lb0_flops24. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_flops14 because it is equivalent to instance sob_inst.lb0_flops14. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_flops25 because it is equivalent to instance sob_inst.lb0_flops25. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_flops5 because it is equivalent to instance sob_inst.lb0_flops5. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_flops12 because it is equivalent to instance sob_inst.lb0_flops12. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/edge_detect_top.sv":82:6:82:13|Removing sequential instance sob_inst.lb0_flops16 because it is equivalent to instance sob_inst.lb1_flops16. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_flops8 because it is equivalent to instance sob_inst.lb0_flops8. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_flops17 because it is equivalent to instance sob_inst.lb0_flops17. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_flops9 because it is equivalent to instance sob_inst.lb0_flops9. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_flops13 because it is equivalent to instance sob_inst.lb0_flops13. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_flops10 because it is equivalent to instance sob_inst.lb0_flops10. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_flops11 because it is equivalent to instance sob_inst.lb0_flops11. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/edge_detect_top.sv":82:6:82:13|Removing sequential instance sob_inst.lb0_flops21 because it is equivalent to instance sob_inst.lb1_flops21. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_flops15 because it is equivalent to instance sob_inst.lb0_flops15. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_flops28 because it is equivalent to instance sob_inst.lb0_flops28. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_flops18 because it is equivalent to instance sob_inst.lb0_flops18. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/edge_detect_top.sv":82:6:82:13|Removing sequential instance sob_inst.lb0_flops31 because it is equivalent to instance sob_inst.lb1_flops31. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/edge_detect_top.sv":82:6:82:13|Removing sequential instance sob_inst.lb0_flops30 because it is equivalent to instance sob_inst.lb1_flops30. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/edge_detect_top.sv":82:6:82:13|Removing sequential instance sob_inst.lb0_flops23 because it is equivalent to instance sob_inst.lb1_flops23. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_flops20 because it is equivalent to instance sob_inst.lb0_flops20. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_flops19 because it is equivalent to instance sob_inst.lb0_flops19. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_flops22 because it is equivalent to instance sob_inst.lb0_flops22. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_flops26 because it is equivalent to instance sob_inst.lb0_flops26. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_flops27 because it is equivalent to instance sob_inst.lb0_flops27. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_flops29 because it is equivalent to instance sob_inst.lb0_flops29. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_rams22 because it is equivalent to instance sob_inst.lb0_rams22. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_rams24 because it is equivalent to instance sob_inst.lb0_rams24. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_rams25 because it is equivalent to instance sob_inst.lb0_rams25. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_rams26 because it is equivalent to instance sob_inst.lb0_rams26. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_rams30 because it is equivalent to instance sob_inst.lb0_rams30. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/gel8580/CE387/HW/HW4/edge_detect/sv/sobel.sv":43:4:43:12|Removing sequential instance sob_inst.lb1_rams0 because it is equivalent to instance sob_inst.lb0_rams0. To keep the instance, apply constraint syn_preserve=1 on the instance.
