
. Module name, ATOMS, ARITHMETIC MODE, REGISTERS, SYNC RAMS, MACs
. cordic_top, 351, 0, 1038, 1, 0
.	. cordic, 334, 0, 1027, 0, 0
.	.	. cordic_stage_0s_16s, 4, 0, 40, 0, 0
.	.	. cordic_stage_10s_16s, 12, 0, 65, 0, 0
.	.	. cordic_stage_11s_16s, 10, 0, 65, 0, 0
.	.	. cordic_stage_12s_16s, 8, 0, 65, 0, 0
.	.	. cordic_stage_13s_16s, 6, 0, 34, 0, 0
.	.	. cordic_stage_14s_16s, 4, 0, 34, 0, 0
.	.	. cordic_stage_15s_16s, 2, 0, 33, 0, 0
.	.	. cordic_stage_1s_16s, 6, 0, 66, 0, 0
.	.	. cordic_stage_2s_16s, 28, 0, 66, 0, 0
.	.	. cordic_stage_3s_16s, 26, 0, 65, 0, 0
.	.	. cordic_stage_4s_16s, 24, 0, 66, 0, 0
.	.	. cordic_stage_5s_16s, 22, 0, 66, 0, 0
.	.	. cordic_stage_6s_16s, 20, 0, 65, 0, 0
.	.	. cordic_stage_7s_16s, 18, 0, 65, 0, 0
.	.	. cordic_stage_8s_16s, 16, 0, 65, 0, 0
.	.	. cordic_stage_9s_16s, 14, 0, 65, 0, 0
.	. fifo_32s_16s_5s, 17, 0, 11, 1, 0
