@W: FA406 |Environment variable QUARTUS_ROOTDIR not set. Cannot determine PAR version.
@W: FX107 :"/home/gel8580/CE387_new/HW/HW6/imp/sv/fifo.sv":35:4:35:12|RAM input_fifo.fifo_buf[31:0] (in view: work.cordic_top(verilog)) does not have a read/write conflict check. Possible simulation mismatch. To resolve a read/write conflict, either set syn_ramstyle = rw_check, or enable the "Read Write Check on RAM" Implementation Option. For more information, search for "read/write conflict check" in Online Help.
@W: BN132 :|Removing sequential instance cordic_inst.loop_stages[0].stage_inst.y_out[13] because it is equivalent to instance cordic_inst.loop_stages[0].stage_inst.y_out[10]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :|Removing sequential instance cordic_inst.loop_stages[0].stage_inst.y_out[9] because it is equivalent to instance cordic_inst.loop_stages[0].stage_inst.y_out[10]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :|Removing sequential instance cordic_inst.loop_stages[0].stage_inst.y_out[7] because it is equivalent to instance cordic_inst.loop_stages[0].stage_inst.y_out[10]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :|Removing sequential instance cordic_inst.loop_stages[0].stage_inst.y_out[6] because it is equivalent to instance cordic_inst.loop_stages[0].stage_inst.y_out[10]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :|Removing sequential instance cordic_inst.loop_stages[0].stage_inst.y_out[4] because it is equivalent to instance cordic_inst.loop_stages[0].stage_inst.y_out[10]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :|Removing sequential instance cordic_inst.loop_stages[0].stage_inst.y_out[3] because it is equivalent to instance cordic_inst.loop_stages[0].stage_inst.y_out[10]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :|Removing sequential instance cordic_inst.loop_stages[0].stage_inst.y_out[15] because it is equivalent to instance cordic_inst.loop_stages[0].stage_inst.y_out[14]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :|Removing sequential instance cordic_inst.loop_stages[0].stage_inst.y_out[14] because it is equivalent to instance cordic_inst.loop_stages[0].stage_inst.y_out[12]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :|Removing sequential instance cordic_inst.loop_stages[0].stage_inst.y_out[12] because it is equivalent to instance cordic_inst.loop_stages[0].stage_inst.y_out[11]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :|Removing sequential instance cordic_inst.loop_stages[0].stage_inst.y_out[8] because it is equivalent to instance cordic_inst.loop_stages[0].stage_inst.y_out[11]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :|Removing sequential instance cordic_inst.loop_stages[0].stage_inst.y_out[5] because it is equivalent to instance cordic_inst.loop_stages[0].stage_inst.y_out[11]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :|Removing sequential instance cordic_inst.loop_stages[0].stage_inst.y_out[0] because it is equivalent to instance cordic_inst.loop_stages[0].stage_inst.x_out[0]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :|Removing sequential instance cordic_inst.loop_stages[0].stage_inst.x_out[15] because it is equivalent to instance cordic_inst.loop_stages[0].stage_inst.x_out[14]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :|Removing sequential instance cordic_inst.loop_stages[0].stage_inst.x_out[14] because it is equivalent to instance cordic_inst.loop_stages[0].stage_inst.x_out[12]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :|Removing sequential instance cordic_inst.loop_stages[0].stage_inst.x_out[12] because it is equivalent to instance cordic_inst.loop_stages[0].stage_inst.x_out[11]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :|Removing sequential instance cordic_inst.loop_stages[0].stage_inst.x_out[8] because it is equivalent to instance cordic_inst.loop_stages[0].stage_inst.x_out[11]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :|Removing sequential instance cordic_inst.loop_stages[0].stage_inst.x_out[5] because it is equivalent to instance cordic_inst.loop_stages[0].stage_inst.x_out[11]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :|Removing sequential instance cordic_inst.loop_stages[0].stage_inst.x_out[1] because it is equivalent to instance cordic_inst.loop_stages[0].stage_inst.x_out[11]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :|Removing sequential instance cordic_inst.loop_stages[0].stage_inst.x_out[13] because it is equivalent to instance cordic_inst.loop_stages[0].stage_inst.x_out[10]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :|Removing sequential instance cordic_inst.loop_stages[0].stage_inst.x_out[9] because it is equivalent to instance cordic_inst.loop_stages[0].stage_inst.x_out[10]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :|Removing sequential instance cordic_inst.loop_stages[0].stage_inst.x_out[7] because it is equivalent to instance cordic_inst.loop_stages[0].stage_inst.x_out[10]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :|Removing sequential instance cordic_inst.loop_stages[0].stage_inst.x_out[6] because it is equivalent to instance cordic_inst.loop_stages[0].stage_inst.x_out[10]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :|Removing sequential instance cordic_inst.loop_stages[0].stage_inst.x_out[4] because it is equivalent to instance cordic_inst.loop_stages[0].stage_inst.x_out[10]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :|Removing sequential instance cordic_inst.loop_stages[0].stage_inst.x_out[3] because it is equivalent to instance cordic_inst.loop_stages[0].stage_inst.x_out[10]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :|Removing sequential instance cordic_inst.loop_stages[0].stage_inst.x_out[2] because it is equivalent to instance cordic_inst.loop_stages[0].stage_inst.x_out[10]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: MT420 |Found inferred clock cordic_top|clock with period 4.11ns. Please declare a user-defined clock on port clock.
