
. Module name, ATOMS, ARITHMETIC MODE, REGISTERS, SYNC RAMS, MACs
. fft_top, 557, 0, 4069, 6, 52
.	. fft_bit_reversal_16s_16s_4s, 145, 0, 142, 2, 0
.	. fft_stage_0s_4s_1s_0s, 38, 0, 559, 0, 4
.	.	. complex_mult_32s_16s_14s_Z1_1, 34, 0, 263, 0, 4
.	. fft_stage_1s_4s_2s_1s, 73, 0, 1012, 0, 16
.	.	. complex_mult_32s_16s_14s_Z1_2, 0, 0, 425, 0, 16
.	. fft_stage_2s_4s_4s_2s, 78, 0, 1240, 0, 16
.	.	. complex_mult_32s_16s_14s_Z1_3, 5, 0, 393, 0, 16
.	. fft_stage_3s_4s_8s_3s, 100, 0, 997, 0, 16
.	.	. complex_mult_32s_16s_14s_Z1_0, 11, 0, 304, 0, 16
.	. fifo_16s_32s_6s, 22, 0, 12, 1, 0
.	. fifo_16s_32s_6s_0, 22, 0, 12, 1, 0
.	. fifo_16s_32s_6s_1, 18, 0, 13, 1, 0
.	. fifo_16s_32s_6s_3, 19, 0, 13, 1, 0
